content_id,right,wrong,correct_rate
10062,683,6761,0.09175174637291779
7639,845,7554,0.10060721514466008
3125,1381,8776,0.13596534409766664
9220,1789,10570,0.14475281171615825
7487,1391,8028,0.14768022083023677
10924,607,3473,0.14877450980392157
10095,952,5180,0.1552511415525114
2063,28716,147327,0.16311923791346433
10061,1151,5629,0.16976401179941003
6531,1187,5793,0.1700573065902579
11231,1430,6844,0.17283055354121343
10239,1236,5738,0.17722971035273874
2596,2392,11034,0.17816177565916877
10172,1074,4914,0.17935871743486975
8981,922,4139,0.18217743528946848
9547,1274,5675,0.18333573175996545
8697,986,4378,0.18381804623415363
10901,750,3276,0.18628912071535023
3095,74,320,0.18781725888324874
10727,1707,7294,0.18964559493389624
10191,1479,6255,0.191233514352211
11585,360,1522,0.19128586609989373
10759,1037,4372,0.1917175078572749
7396,1318,5535,0.1923245294031811
11173,1471,6130,0.19352716747796342
7604,1190,4944,0.19400065210303227
6614,3219,13157,0.19656814851001467
11640,263,1071,0.19715142428785606
8986,1291,5237,0.19776348039215685
3878,23846,95594,0.1996483590087073
